Date,Open,High,Low,Close,Volume
2021-10-14,57.89599,59.30510,57.68031,58.77309,2718612
2021-10-15,59.09661,61.07369,58.59336,60.53448,4721041
2021-10-18,60.21096,64.34485,59.85868,61.91484,5744903
2021-10-19,61.91484,61.91484,61.91484,61.91484,0
2021-10-20,62.55872,62.66848,61.38804,61.53437,1313329
2021-10-21,61.82704,63.79527,61.57096,62.88798,3614738
2021-10-22,62.84407,62.84407,61.38802,61.77581,1986965
2021-10-25,62.03190,62.55871,61.64411,61.77581,761334
2021-10-26,62.84408,62.84408,61.10269,61.26366,601163
2021-10-27,62.55872,62.55872,61.28560,61.57095,939830
2021-10-28,61.46851,62.33921,61.13194,61.89288,1358121
2021-10-29,62.00996,62.92456,62.00996,62.36848,2381766
2021-11-01,62.92455,65.11228,62.81480,64.38792,4670531
2021-11-02,64.53425,65.62446,64.03671,64.28548,3228702
2021-11-03,64.24160,64.24160,62.63922,63.23920,8389963
2021-11-04,63.14406,63.43673,62.63188,63.31234,4435522
2021-11-05,62.99773,64.31476,62.99773,64.10989,4691853
2021-11-08,64.55785,64.55785,63.12439,63.37823,1229180
2021-11-09,63.46035,63.67686,61.74319,62.05676,2270370
2021-11-10,62.49725,63.46036,62.38526,63.32597,1513019
2021-11-11,63.08704,63.46034,62.21353,62.34792,1337772
2021-11-12,61.96716,62.04182,60.66062,60.75022,1752873
2021-11-15,60.70542,61.59387,60.51131,60.79502,689072
2021-11-16,61.18323,63.82616,61.18323,63.28115,2262921
2021-11-17,62.90041,63.07960,62.34047,62.69884,948047
2021-11-18,62.71375,62.71375,61.82531,62.60923,1558134
2021-11-19,62.56445,63.83365,62.34047,62.93774,6338668
2021-11-22,62.71375,63.31103,61.96716,62.67642,2249792
2021-11-23,63.07213,63.10945,61.11605,61.22804,1841420
2021-11-24,61.34748,62.11647,60.54863,61.35495,4921535
2021-11-25,61.51175,61.51175,60.48146,60.92194,1246576
2021-11-26,60.55610,61.06378,59.72738,60.01108,1999175
